DIPUTACIONES LOCALES
02/07/2018 20:00 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
7547,7402,0,7402,98.0787,6201,82.1650,4.0413,1199,3689842,2491611,2486552,67.3891

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PV,MC,NA,CPP,PSI,MORENA,PES,C_PAN_PRD_MC_NA_CPP_PSI,C_PAN_PRD_MC_NA_CPP,C_PAN_PRD_MC_NA_PSI,C_PAN_PRD_MC_CPP_PSI,C_PAN_PRD_NA_CPP_PSI,C_PAN_MC_NA_CPP_PSI,C_PRD_MC_NA_CPP_PSI,C_PAN_PRD_MC_NA,C_PAN_PRD_MC_CPP,C_PAN_PRD_MC_PSI,C_PAN_PRD_NA_CPP,C_PAN_PRD_NA_PSI,C_PAN_PRD_CPP_PSI,C_PAN_MC_NA_CPP,C_PAN_MC_NA_PSI,C_PAN_MC_CPP_PSI,C_PAN_NA_CPP_PSI,C_PRD_MC_NA_CPP,C_PRD_MC_NA_PSI,C_PRD_MC_CPP_PSI,C_PRD_NA_CPP_PSI,C_MC_NA_CPP_PSI,C_PAN_PRD_MC,C_PAN_PRD_NA,C_PAN_PRD_CPP,C_PAN_PRD_PSI,C_PAN_MC_NA,C_PAN_MC_CPP,C_PAN_MC_PSI,C_PAN_NA_CPP,C_PAN_NA_PSI,C_PAN_CPP_PSI,C_PRD_MC_NA,C_PRD_MC_CPP,C_PRD_MC_PSI,C_PRD_NA_CPP,C_PRD_NA_PSI,C_PRD_CPP_PSI,C_MC_NA_CPP,C_MC_NA_PSI,C_MC_CPP_PSI,C_NA_CPP_PSI,C_PAN_PRD,C_PAN_MC,C_PAN_NA,C_PAN_CPP,C_PAN_PSI,C_PRD_MC,C_PRD_NA,C_PRD_CPP,C_PRD_PSI,C_MC_NA,C_MC_CPP,C_MC_PSI,C_NA_PSI,C_CPP_PSI,C_NA_CPP,C_PT_MORENA_PES,C_PT_MORENA,C_PT_PES,C_MORENA_PES,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'210006C0100,210006C010003,21,PUEBLA,012,AMOZOC DE MOTA,0006,01,C,00,2,3,201,448,3,451,32,28,12,22,7,19,10,3,23,238,4,,,,0,,,,,0,0,,,0,,,0,,,,0,,,0,,0,0,,0,0,,,0,,0,0,,,0,,,0,,4,0,,0,0,0,,0,0,,0,1,,0,,8,4,1,6,0,30,451,452,632,3,,1,F,32e50487c989f350b5363710db668837887d1996f4ae34ae0c63eeebab648c25,2018-07-02 02:15:00,2018-07-02 02:39:50,2018-07-02 02:41:15,CATD,Escaner,ACTA PREP
'210006C0200,210006C020003,21,PUEBLA,012,AMOZOC DE MOTA,0006,02,C,00,2,3,219,432,0,432,47,18,14,19,7,29,7,6,29,206,7,,,,0,,,,,0,0,,,0,,,0,,,,0,,,0,,0,0,,0,0,,,0,,0,0,,,0,,,0,,3,0,,0,0,0,,0,0,,0,0,,0,,16,5,0,4,0,15,432,432,631,0,,1,F,bc8844fd94e8d389c3d7af405316814527cbae8e619ff2fcfe6f8b434e141f57,2018-07-02 02:11:00,2018-07-02 02:32:56,2018-07-02 02:35:02,CATD,Escaner,ACTA PREP
'210006C0300,210006C030003,21,PUEBLA,012,AMOZOC DE MOTA,0006,03,C,00,2,3,215,435,1,0,57,22,7,24,3,216,7,6,27,245,3,,,,7,,,,,0,0,,,0,,,0,,,,0,,,1,,0,0,,0,0,,,0,,0,0,,,0,,,0,,1,0,,0,0,0,,0,0,,1,0,,0,,0,0,0,0,0,0,436,627,631,1,,1,F,5649ecee0eaff3169b656afbaf5a1c02c019c15dc7d8c8af9e8e41515cf478a4,2018-07-02 02:28:00,2018-07-02 03:33:16,2018-07-02 04:13:15,CATD,Escaner,ACTA PREP
'210007B0100,210007B010003,21,PUEBLA,012,AMOZOC DE MOTA,0007,01,B,00,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,Sin Acta,0,,,,,,,,
'210007C0100,210007C010003,21,PUEBLA,012,AMOZOC DE MOTA,0007,01,C,00,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,Sin Acta,0,,,,,,,,
'210007C0200,210007C020003,21,PUEBLA,012,AMOZOC DE MOTA,0007,02,C,00,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,Sin Acta,0,,,,,,,,
'210007C0300,210007C030003,21,PUEBLA,012,AMOZOC DE MOTA,0007,03,C,00,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699,,Sin Acta,0,,,,,,,,
'210008B0100,210008B010003,21,PUEBLA,012,AMOZOC DE MOTA,0008,01,B,00,1,3,323,437,2,272,44,7,8,25,13,80,7,7,1,54,7,,,,1,,,,,0,0,,,0,,,0,,,,0,,,0,,0,0,,0,0,,,1,,0,0,,,0,,,0,,1,4,,0,0,0,,0,0,,0,0,,0,,5,4,1,2,0,30,439,302,745,2,,1,F,4613d21bb68ed3353cbc97fcbd8489aee5fb1a1f4ce526ec1db39b9e8beae771,2018-07-02 06:48:00,2018-07-02 07:10:50,2018-07-02 07:11:49,CATD,Escaner,ACTA PREP
'210008C0100,210008C010003,21,PUEBLA,012,AMOZOC DE MOTA,0008,01,C,00,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,,Sin Acta,0,,,,,,,,
'210008C0200,210008C020003,21,PUEBLA,012,AMOZOC DE MOTA,0008,02,C,00,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,,Sin Acta,0,,,,,,,,
