GUBERNATURA
02/07/2018 20:00 (UTC-5)
ACTAS_ESPERADAS,ACTAS_REGISTRADAS,ACTAS_FUERA_CATALOGO,ACTAS_CAPTURADAS,PORCENTAJE_ACTAS_CAPTURADAS,ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_CONTABILIZADAS,PORCENTAJE_ACTAS_INCONSISTENCIAS,ACTAS_NO_CONTABILIZADAS,LISTA_NOMINAL_ACTAS_CONTABILIZADAS,TOTAL_VOTOS_C_CS,TOTAL_VOTOS_S_CS,PORCENTAJE_PARTICIPACION_CIUDADANA
7548,7407,0,7407,98.1319,6232,82.5649,4.0805,1174,3705612,2516965,2506816,67.6491

CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,ESTADO,ID_DISTRITO_LOCAL,DISTRITO_LOCAL,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,UBICACION_CASILLA,TIPO_ACTA,TOTAL_BOLETAS_SOBRANTES,TOTAL_PERSONAS_VOTARON,TOTAL_REP_PARTIDO_CI_VOTARON,TOTAL_VOTOS_SACADOS,PAN,PRI,PRD,PT,PV,MC,CPP,PSI,MORENA,PES,C_PT_MORENA_PES,C_PT_MORENA,C_PT_PES,C_MORENA_PES,C_PAN_PRD_MC_CPP_PSI,C_PAN_PRD_MC_CPP,C_PAN_PRD_MC_PSI,C_PAN_PRD_CPP_PSI,C_PAN_MC_CPP_PSI,C_PRD_MC_CPP_PSI,C_PAN_PRD_MC,C_PAN_PRD_CPP,C_PAN_PRD_PSI,C_PAN_MC_CPP,C_PAN_MC_PSI,C_PAN_CPP_PSI,C_PRD_MC_CPP,C_PRD_MC_PSI,C_PRD_CPP_PSI,C_MC_CPP_PSI,C_PAN_PRD,C_PAN_MC,C_PAN_CPP,C_PAN_PSI,C_PRD_MC,C_PRD_CPP,C_PRD_PSI,C_MC_CPP,C_MC_PSI,C_CPP_PSI,NO_REGISTRADOS,NULOS,TOTAL_VOTOS_ASENTADO,TOTAL_VOTOS_CALCULADO,LISTA_NOMINAL,REPRESENTANTES_PP_CI,OBSERVACIONES,CONTABILIZADA,MECANISMOS_TRASLADO,SHA,FECHA_HORA_ACOPIO,FECHA_HORA_CAPTURA,FECHA_HORA_VERIFICACION,ORIGEN,DIGITALIZACION,TIPO_DOCUMENTO
'210011C0200,210011C020005,21,PUEBLA,012,AMOZOC DE MOTA,0011,02,C,00,1,5,248,501,2,508,121,61,26,16,25,25,10,3,184,5,4,2,1,6,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,9,503,506,734,2,,1,F,b7789fe35f0f3b443d0c5b36b8a30605db642c89257324e680ff43a8f73e2bf0,2018-07-02 02:35:00,2018-07-02 02:59:25,2018-07-02 03:29:52,CATD,Escaner,ACTA PREP
'210012B0100,210012B010005,21,PUEBLA,012,AMOZOC DE MOTA,0012,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,,Sin Acta,0,,,,,,,,
'210012C0100,210012C010005,21,PUEBLA,012,AMOZOC DE MOTA,0012,01,C,00,1,5,218,342,0,0,79,41,5,11,12,6,5,3,125,9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,342,304,539,0,,1,F,7546fd5fa8099d54b794f38858dde6924b0910bec709d84bb1f813ae08cde478,2018-07-02 06:04:00,2018-07-02 06:30:14,2018-07-02 06:34:10,CATD,Escaner,ACTA PREP
'210012C0200,210012C020005,21,PUEBLA,012,AMOZOC DE MOTA,0012,02,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,539,,Sin Acta,0,,,,,,,,
'210013B0100,210013B010005,21,PUEBLA,012,AMOZOC DE MOTA,0013,01,B,00,1,5,0,464,3,0,99,51,6,12,14,9,0,11,4,85,1,0,11,0,11,2,1,2,0,0,0,0,0,1,0,1,1,0,0,0,4,2,0,0,0,0,0,0,0,9,0,16,0,353,694,3,,1,F,c17bff3fdfb0c8ffcfc6786a895628b2d4bf6179f279b919432c785ecb718187,2018-07-02 06:16:00,2018-07-02 06:29:21,2018-07-02 06:34:32,CATD,Escaner,ACTA PREP
'210013C0100,210013C010005,21,PUEBLA,012,AMOZOC DE MOTA,0013,01,C,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,693,,Sin Acta,0,,,,,,,,
'210014B0100,210014B010005,21,PUEBLA,012,AMOZOC DE MOTA,0014,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,594,,Sin Acta,0,,,,,,,,
'210014C0100,210014C010005,21,PUEBLA,012,AMOZOC DE MOTA,0014,01,C,00,1,5,234,379,0,371,58,32,5,24,11,6,11,14,181,5,11,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,379,371,593,0,,1,F,67f9ea5b5ed23b6966ea96554e890e4660837819e817af3706eb3ab30aabc3dd,2018-07-02 04:13:00,2018-07-02 04:22:14,2018-07-02 04:23:40,CATD,Escaner,ACTA PREP
'210014C0200,210014C020005,21,PUEBLA,012,AMOZOC DE MOTA,0014,02,C,00,1,5,243,364,5,369,60,40,12,12,12,11,4,9,163,0,19,4,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,2,0,0,0,0,0,0,0,0,7,369,369,593,5,,1,F,a5c7534e139efe33539844892221d002d6642395470210f25921c00bc411a947,2018-07-02 04:20:00,2018-07-02 04:26:13,2018-07-02 04:26:55,CATD,Escaner,ACTA PREP
'210015B0100,210015B010005,21,PUEBLA,012,AMOZOC DE MOTA,0015,01,B,00,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,577,,Sin Acta,0,,,,,,,,
